total,body
5, 店 の 雰囲気 も 良い ！ ！ 値段 も リーズナブル ！ ！ 料理 も うまい ！ ！ 場所 が 高架 下っ て 事 も あっ て 、 入り やすい 。 仲間 内 で ワイワイ に は もってこい の 店 だ と 思い ます 。 料理 で おすすめ は もちろん 、 ソーセージ 。 あと ジャーマンポテト 。 この 二つ は 行く と 必ず 頼み ます 。 しかも 追加 も し ます 。 プレッツェル も モチ モチ 感 と 岩塩 の しょっぱ さ が 癖 に なり ます 。 料理 も 豊富 、 味 は 庶民 的 ながら おいし さ 抜群 です 。 （ いわゆる 高級 感 は なし 。 ） 喫煙 率 が 多い ので 、 嫌煙 家 の 私 に は つらい 所 だ が ‥ おいし さ の 誘惑 に 負け て 通っ て ます ！ 
3, メニュー が 豊富 な お 店 だ と 思い ます 。 オリジナル カクテル の 名前 が 面白い ！ 地元 の 人 なら 分かる と 思う の です が 、 「 呑川 スペシャル 」 なんて の も あり ます 。 色 は 呑川 （ 緑 っぽい 色 ） 、 でも 味 は フルーティ で 美味 。 料理 も ハズレ が 少なく て 値段 も そこそこ リーズナブル 。 いつも 地元 の 若い 人中 心 に にぎわっ て いる 感じ です 。 
5, この 夏 京都 の 本店 （ 祇園 ） に 行き 、 パフェ の 美味し さ が 忘れ られ ず カレッタ 店 に 訪問 。 特選 茶路 里 パフェ を 注文 。 もう 、 大き さ から 言っ て 大 満足 な の です が 、 食べ て いく 上 で 、 微妙 に 変化 し て いく 美味し さ に 陶酔 です 。 。 。 抹茶 好き に は たまり ませ ん 。 私 は 下 の 方 に 入っ て いる 寒天 が 大好き です 。 締め に 丁度 良い ！ 日曜日 の 夜 8 時 くらい に 行っ た の です が 、 時間 的 に は 20 分 位 並び まし た 。 行列 が ちょっと 辛い です けど 、 でも 絶対 並ぶ 価値 は ある と 思い ます 。 京都 の 味 と 変わり なく 、 東京 で も 食べ れる なんて ！ ！ また 行こ う と 思い ます ～ 。 
5, まず 、 みんな が 書い て いる 通り 接客 に びっくり し まし た 。 元気 ！ ！ ！ 丁 寧 ！ ！ でも 嫌み じゃ なく て とっても 感じ が 良かっ た と 思う 。 太 麺 で 食べ 応え が あり 、 チャーシュー は 歯ごたえ が ある 。 （ でも やわらかい 。 ） スープ も 見た目 ほど しつこく なく て 、 ちょうど 良かっ た 。 個人 的 に は 煮 卵 が 超 好み で 、 とろとろ 加減 が おいしかっ た 。 店内 に 入っ て から の 時間 が 結構 長かっ た が 、 店内 の こだわり うんちく を 見 て 時間 を つぶし まし た 。 待ち時間 が 長く て も 苦 に なら ない 店 だ と 思い ます 。 美味しかっ た し 、 やっぱ 接客 か な 。 
4, 休日 の ランチ で 利用 し まし た 。 混雑 し て い た 銀 柳 街 を 抜け て フラフラ し て い たら みつけ た お 店 です 。 川崎 で 一番 老舗 の イタリアン です ‥ と 看板 に 書い て ある だけ あり 、 歴史 が あり そう な 店内 。 ランチ と 言う 事 で 連れ と パスタ と ピザ を 頼み まし た 。 パスタ は オリジナル という 、 グラタン 風 の パスタ 。 見た目 と 違っ て さっぱり 。 おいしかっ た です 。 店員 の 方 も 丁寧 でし た 。 ただ 、 席 と 席 が 近い ので 煙草 が 苦手 な 私 達 に は つらかっ た ‥ 。 （ 私 達 来店 時 は ８ 割 位 喫煙 者 でし た 。 禁煙 席 は ある の だろ う か ・ ・ ？ ） 
5, 店 の 方 の 対応 が すごく 丁寧 で 、 雰囲気 も 落ち着い て い て 良い です 。 串 もの を つまみ ながら 、 一杯 。 その後 良い タイミング で うなぎ を 出し て くれ ます 。 私 は ひつ まぶし を 食べ まし た 。 香ばしく て とっても 美味 です 。 串 もの も 一つ 一つ が 手が込ん で いる 感じ です 。 
4, ディナー で 利用 し まし た 。 ウクライナ セット を 頂き まし た 。 前菜 の 盛り合わせ から 始まり 、 スープ ( 選べる 。 私 は ボルシチ )、 メイン の トマト ソース が かかっ た カツレツ ロシアンティー で 、 3800 円 でし た 。 前菜 の 盛り合わせ も 本当 、 盛り合わせ ！ ！ で 、 豪華 でし た 。 レバー の パテ が 美味しくっ て 、 ワイン が すすみ まし た ねぇ ー 。 メイン の カツレツ も 、 とっても ジューシー で 、 中 の チーズ が トロトロ で ・ ・ ・ 。 思い出す と 幸せ な 気分 に なり ます ね 。 店 の 雰囲気 も 良い です ねー 。 店 の 方 も 料理 を とっても 詳しく 説明 し て くれる し 。 また 是非 行き たい 店 です 。 ちょっと 狭い ので 、 隣 に 喫煙 家 が 来る と つらい ・ ・ ・ 
5, 本店 に は 行っ た 事 は ない の です が 、 ここ の サイト を 見 て 行っ て き まし た 。 さすが に 人気 店 だけ あっ て 昼 時 を はずし た の です が 少し 待ち まし た 。 迷っ た あげく チャーシュー 麺 に し た の です が 、 肉 の 大き さ 、 ぶ厚 さ に ビックリ し まし た ！ ちょっと 女性 に は つらい かも ‥ 。 （ 食べ きれ ない かも ） しかしながら チャーシュー しっかり と 味 が しみ込ん で い て うまい 。 麺 も 太 麺 で 食べ 応え が ある 。 スープ の 色 は 濃い の だ が 飲ん で みる と 丁度 いい 。 駅 から 遠い の が 難点 だ が 、 それ に 見合う 味 が ある ので 是非 行っ て 欲しい 店 です 。 
4, 秋葉 家 ラーメン を いただき まし た 。 具 の インパクト が あり ます 。 ホタテ が 入っ て たり 、 ゆず が 入っ て たり 。 麺 は コラーゲン 入り という こと で 、 だから ちょっと もち もち し てる の か な ？ 魚介 系 の スープ は ちょっと 濃い 目 でし た 。 でも 美味しかっ た ので 飲み干し まし た 。 すごく 独特 の 雰囲気 を もっ て いる あの 仙人 みたい な 人 が 店主 な の か な ？ お 店 は 砂利 が 敷い て あっ て 、 すごく おしゃれ な 感じ でし た 。 
5, ここ の お 店 は とにかく 接客 が すばらしい ！ 最初 入っ た 時 は 感動 し まし た 。 とん かつ は 衣 が カリカリ で 、 でも 中身 は ジューシー です 。 衣 が カリカリ と し て い て 、 こってり し て い ない ので 女性 に も 人気 が あり ます 。 定食 の 豚汁 も 肉 厚 で おいしい です 。 
4, 今回 は ランチ で 行き まし た 。 前菜 ・ パスタ ・ デザート ・ コーヒー で 1500 円 くらい 。 （ 1400 円 だっ た か な ？ ） 前菜 は 中央 に ある テーブル に 並ん で いる の を 自分 で チョイス する 形 でし た 。 （ 約 10 種類 ） いっぱい あっ て すごく 迷っ て しまっ た ので 、 少し ずつ ほぼ 全部 取っ て しまい まし た 。 取っ て 席 に 戻っ て 食べ て いる と 、 きのこ の ソテー らしき もの が おいしく て 「 あ ～ これ もっと 食べ たい ！ 」 1 枚 しか 取ら なく て 超 後悔 ！ パスタ は 赤い 野菜 （ 何 か は 忘れ て しまい まし た ‥ ） の ペンネ 。 パスタ は 5 種類 位 の 中 から 選び まし た 。 デザート は キャラメル の ムース で 、 甘 過ぎ ず いい 感じ でし た 。 
3, まず 値段 が 安い 、 明朗 会計 な ので 入り やすい お 店 です 。 いつ 行っ て も 外 の ベンチ 沿い に 人 が 並ん で い ます 。 板前 さん も 気さく な 方 が 多く て 頼み 易い 。 いけ すから 直接 出し て さばい て いる 所 なんて みる と 新鮮 さ も ○ 。 寿司 は もちろん な の です が 、 ダシ 巻き 卵 も おいしかっ た です 。 しかしながら 私 も ここ の 案内 係 嫌 な 思い し まし た 。 細かい 事 は 書き ませ ん が 、 それ が 原因 で 足 が 遠のい て いる の も 事実 です 。 それ が なけれ ば ★ ４ な ん だ けど 。 
4," お 店 の 方 の 対応 も 良く 、 感じ の 良い 店 でし た 。 じゃがいも の 明太子 あ え みたい な の が 美味しかっ た です ね 。 角 煮 も トマト ソース と 合わせる という 、 ちょっと 変わっ た 組み合わせ 。 和 中心 の 創作 料理 を 楽しめる 店 だ と 思い ます 。 ４ 人 で 行っ て 、 ７ , ８ 品 頼み まし た が ほぼ 全部 美味しかっ た です ね 。 ＣＰ 的 に も ４ 人 で ほどほど 飲ん で 、 一 人 ４ ０ ０ ０ 円 位 な ので お 安い の で は ？ グループ で も 、 カップル でも 使える 店 です ね 。  "
4, 皆さん が 書い て ある 通り 本当に 地元 密着 型 なお 店 っぽい です ね 。 店員 の 方 に おすすめ 人気 の ケーキ を 教え て いただき 、 ミルフィーユ 、 マロンリーマ フルーツ の 入っ た シュークリーム を いただき まし た 。 ボリューム が ある のに 良心 的 な お 値段 です 。 お 味 の 方 は オーソドックス です が 美味しい です 。 特に マロンリーマ は クリーム が 甘 過ぎ ず おいしかっ た です 。 この お 味 で この 値段 だっ たら 買い ！ だ と 思い ます 。 
4, 久々 に と 思っ て 行っ て み たら お 店 閉まっ て まし た ‥ 。 かなり お気に入り の お 店 だっ た だけ に 超 ショック です 。 何だか 噂 に よる と ９月 ぐらい に 閉店 し て しまっ た みたい 。 もう 食べ れ ない の ね ‥ 
4, ランチ で 行っ て き まし た 。 店 は 大井 の 三又 商店 街 の 商店 街 裏手 に あり ます 。 ランチ の 種類 は たしか ５ 種類 位 。 生 パスタ 、 ハンバーグ など 。 ８ ５ ０ 円 ハンバーグ を 今回 は 食べ まし た 。 ランチ セット に つい て くる サラダ の ドレッシング が うまい ！ 自家製 な の か な ？ ハンバーグ も 見た目 は 普通 ながら 、 味 の バランス が 良かっ た 。 盛り 付け も プレート に ハンバーグ 、 ライス 、 目玉焼き と きれい でし た 。 次 は 生 パスタ 挑戦 し たい と 思い ます 。 
4, 平日 に ランチ の 2400 の コース を いただき まし た 。 前菜 、 肉 or 魚 料理 、 デザート 、 飲み物 です 。 チネチッタ の 映画 の 半 券 で 、 食前 の 飲み物 が １ 杯 サービス でし た 。 前菜 は きのこ の キッシュ と お 野菜 を 鶏肉 で ロール し た もの でし た 。 メイン は 牛肉 を 赤ワイン で 煮 た もの 。 メイン の ソース が とても マイルド ！ 超 美味 でし た 。 店 の 方 も 親切 、 丁寧 で 満足 な ランチ でし た 。 
4, スープ の 種類 は こってり と あっさり が あり ます 。 あっさり は 魚介 系 の スープ で あっさり で 上品 な 味 だ と 思い ます 。 麺 は 細 麺 で スープ と の 相性 も 良い です 。 いつも こってり の 方 を 私 は 食べ ます 。 麺 は ちぢれ の 中 太 麺 です 。 スープ は 背 あぶら も 入っ て い て 見た目 ぎとぎとなのですが 、 そんなに しつこく ない です 。 いつ 行っ て も スープ 、 麺 、 安定 し て い て 美味しい です 。 
5, 欧風 カレー の お 店 。 チェーン 店 みたい です 。 人当たり の 良い 優し そう な ご 主人 が やっ て い ます 。 ランチ は サイズ が レディース 、 メンズ と あり まし た 。 種類 も 豊富 で チキン 、 ビーフ 、 ポーク 、 あさり など が あり ます 。 カレー の 味 は 甘口 、 中 辛 など 指定 が でき ます 。 フルーティ な 感じ で 甘み が 感じ られる カレー です 。 甘み が ある と いっ て も 辛口 は かなり 辛い です 。 初め は 中 辛 が お 薦め です 。 辛み の 中 に も 味わい が ある カレー です 。 昼 時 は 近所 の 会社 の 方 、 地元 の 方 で にぎわっ て ます 。 
3, 豚肉 入り 小 龍 包 と もち 米 入り シュウマイ を いただき まし た 。 小 龍 包 は スープ ＆ 肉汁 が 美味しかっ た です 。 ただ 個人 的 に は 酢 醤油 の 酢 が きつい 感じ が し まし た 。 熱々 の 時 に さっさと 食べ た 方 が 良い です 。 デザート に マンゴー プリン を 食べ まし た 。 濃厚 で 実 も いっぱい 入っ て い て おいしい ！ 一番 の おすすめ は デザート かも ‥ 。 全体 的 に 美味しい と 思う の です が 、 値段 ＋ サービス 料 を 考える と ちょっと ‥ 。 お 皿 も 最後 の 一口 が 口 に まだ 入っ て いる うち に すぐ に 下げ て しまう ので 、 何だか 早く 帰れ って 言わ れ てる みたい で 。 ☆ ３ は デザート が 上出来 って 事 で おまけ 。 
5, 行列 が 比較的 いつも より も 短かっ た ので 並ん で み まし た 。 日曜 の 午後 ５ 時 頃 で 、 外 の 行列 が １ ５ 人 前後 。 席 に 着く まで は 外 と 中 合わせ て ２ ０ 分 位 でし た 。 チャーシュー 麺 と 餃子 を 頼み まし た 。 餃子 は シュウマイ を つぶし た よう な 形 で 、 やや 大きめ 。 形 も 変わっ て い て 面白く 、 味 も なかなか でし た 。 チャーシュー 麺 は 最初 どんぶり の 小さ さ に ビックリ し まし た 。 そして 、 マー 油 の 黒 さ に も ビックリ し まし た 。 マー 油 初 体験 だっ た ので 、 恐る恐る 飲ん で みる と にんにく の 香ばしい 匂い が し て 、 美味しい 。 見る から に 味 が 濃 そう だっ た の です が 、 スープ は ぎとぎとしてなくて 意外 に あっさり 。 これから 寒い ので 行列 は つらい けど 、 また 来よ う と 思い ます 。 
3, 以前 行っ た 時 は 大 絶賛 だっ た の です が 、 最近 行っ て ？ ？ ？ です 。 大好き な ころころ チャーシュー は 相変わらず 美味しい ！ カレー っぽい 風味 が 少し する 野菜 スープ も 不思議 な 感じ で うまい 。 が 、 しかし 麺 が 変わっ た の でしょ う か ？ なんだか しっくり こ ない 。 前 来 た 時 は もっと ちぢれ て た よう な ‥ ？ ま 、 麺 の 事 は 抜き に し て も 厨房 の 中 が 丸見え な の に しゃべり ながら 作る 様 を 見 た から 味 が 落ち た よう な 感じ が する の かも しれ ませ ん 。 すい て い た から かも しれ ませ ん が 、 もう少し 集中 し て 作っ てる 所 を 見 たかっ た です 。 
0, 店員 が 奥 の 居酒屋 ？ と 掛け持ち な の か 呼ん で も なかなか 対応 し て くれ ませ ん 。 値段 と サービス の 対応 で イマイチ です 。 地 鶏 専門 店 を 掲げ て ます が 比内 地 鶏 が イマイチ な の かお 店 が イマイチ な の か ちょっと 期待 はずれ でし た 。 
1, 最低 の レストラン でし た 。 料理 へ の オーダー は 全く 聞い て もらえ ず 、 店 の 都合 だけ で 料理 を 選ん で 出し てる という 感じ でし た 。 （ しかも あまり 美味しく なかっ た ） 接客 態度 も 妙 に 高飛車 で 、 噂 に 聞い て い た アットホーム な レストラン と は ほど遠い 。 もう 二度と 行き たく あり ませ ん 。 
3, 平日 の 16 ： 00 に 行っ た ので 、 行列 と は 無縁 で 店内 ガラガラ 。 赤丸 新味 （ こってり 系 ） を 頂い た の だ が 、 こってり を 自称 する わり に は 、 新宿 二 丁目 の 「 博多 天神 」 や チェーン 店 の 「 まる 金 ラーメン 」 と 比べ て さっぱり し た 味 。 とんこつ ラーメン として 、 とても 整っ た 味 だ と 思う 反面 、 スープ の パンチ 力 （ 濃厚 さ ） に 欠ける 印象 を 持ち まし た 。 ただ 「 白丸 元 味 」 を 食べ て ない から 、 この 店 の 総合 的 な 判断 を する に は 早計 かも 。 「 赤丸 」 が 「 白丸 」 より 100 円 高い ところ も 大いに 気 に なる ！ 再度 足 を 運ぶ 気 に さ せる ニク い 店 です 。 
2, 不覚 に も 「 味噌 」 ラーメン を 食べ て しまっ た 。 （ 個人 的 に 味噌 好き な 故に 。 ） コク ない し 、 ダシ 利い て ない し 、 チャーシュー の 脂身 だけ が 主張 し 過ぎ て いる し 。 １ 杯 ８ ０ ０ 円 払う だけ の 質 ・ 量 が 感じ られ なかっ た 。 「 塩 」 が おいしい という こと は 不 勉強 だっ た ので 、 もう一度 足 を 向け て みよ う という 気 も ある 反面 、 店 の 雰囲気 や 空間 の 狭 さ が 自分 に は 気に入ら ない ところ も あっ た 。 ラーメン 激戦 地区 だけ に 今度 この 店 に 足 を 向ける の は いつ の 日 に なる やら ・ ・ ・ 
4, 気分 に まかせ て ちょっと 一 杯 引っかける のに 、 心強い 店 。 焼き鳥 は カシラ が 旨かっ た 。 名物 の シュウマイ も 挽肉 の 味わい が ギッシリ 詰まっ て 、 食べ 応え あり 。 店員 の 兄ちゃん 、 姉ちゃん も 愛想 は ない けど 、 威勢 の 良い の が 店内 の 雰囲気 に 似合い ます 。 この 店 なり の 居心地 に 染ま れ た 人 に は 「 通い 続け たい 」 と 思える よう に なる 店 です 。 焼き鳥 に 「 カワ 」 が ない の が 残念 だっ た なぁ ・ ・ ・ 
5, この 店 の 半 チャン ラーメン を 初めて 食べ て 10 数 年 。 生粋 の 醤油 ラーメン の 味 は 、 今 も 当然 変わる こと なく 、 美味しい と 感じる ワタ シ の 味覚 も 変わる こと が あり ませ ん 。 チャーハン だって 作り 置き と は 言っ て も 、 舌 に 熱 さ を 感じる ほど 、 ちゃんと 熱 入れ し て ます 。 その 味 も ラーメン の さっぱり し た 味わい と 対称 的 に 、 塩加減 が 程 良く 利き 、 具 の チャーシュー の 食 感 も ＧＯＯＤ で 、 両者 の 味 の バランス が きちんと 取れ て い ます 。 ご 意見 に 賛否 お あり の よう です が 、 下手 に 手 の 込ん だ ラーメン が 多い 昨今 、 極めて シンプル で 、 のどごし の 良い 醤油 ラーメン は 、 この 店 で 堪能 でき ます 。 時間 帯 に も より ます が 、 昼 時 を 外せ ば 20 分 ほど で 食べ られ ます 。 
3, 6 年 振り ぐらい に 立ち寄っ た が 、 相変わらず の 盛況 ぶり 。 この 店 で 食べ て おく べき メニュー は ワンタン メン 。 具 の しっかり 詰まっ た ワンタン の 喉 ごし は 格別 。 いくつ でも 食べ られ そう な 気 に さ せ ます 。 ただ 、 なんとなく 麺 に コシ が なくなっ た 気 が する 。 支那 そば として の 味 の 評価 は 「 2 」 に し て も いい くらい 残念 な もの でし た が 、 つまみ と なる 一品 料理 と ワンタン の うま さ （ 「 皿 ワンタン 」 という メニュー も あり ます 。 これ オススメ ！ ） 、 そして 香港 か 台湾 を 思わ せる 店内 の 雰囲気 は 個人 的 に は 好き です 。 あと は 待ち時間 さえ なけれ ば なぁ ・ ・ ・ 
3, 醤油 、 塩 も あり ます が ここ の 名物 は 味噌 。 値段 も 50 円 上乗せ し て ます 。 赤味噌 と 白味噌 を 合わせ た スープ が 、 あっさり 感 を 持た せ つつ 、 微妙 な 味噌 の 味わい を 残し ます 。 麺 は コシ の ある 細 麺 。 麺 の 主張 が 強い せい か 、 スープ に なじん で いる と は 言い 難い 。 具 は モヤシ 、 ホウレンソウ 、 メンマ に チャーシュー 。 メンマ は 人差し指 くらい の 長 さ 、 太 さ の ビッグ サイズ 。 チャーシュー も 脂身 が 乗っ て い て 、 舌 に とろける よう な 味わい 。 ただし ホウレンソウ は おい とい て 、 モヤシ に は シャキシャキ 感 は 得 られ ず 、 ちょっと 萎び た 感じ の する 色合い 。 一度 食べれ ば 「 まぁ いい や 」 って 感想 です 。 赤坂 駅前 の 立地 の 良 さ と 、 深夜 3 ： 00 まで 営業 し て いる ところ が 便利 な ところ 。 その 分 一 杯 850 円 という 金額 は 仕方 の ない ところ でしょ う か ？ 
2, 40 分 並ん だ ・ ・ ・ 店内 は 座っ て いる だけ で 汗 が 出 て き た ・ ・ ・ 肩 が 触れる ほど の 狭 さ ・ ・ ・ 出 て き た つけ 麺 は 、 麺 が 伸び きり 、 スープ も どういう わけ か 熱 を 帯び て ない ・ ・ ・ この 店 の 伝統 と スタイル を 考えれ ば 、 不満 を 求め ちゃあ いけ ない の は わかる の だ けど 、 何 も 得 られ た もの が なかっ た こと を 考えれ ば 、 自然 と 評価 「 1 」 に なっ て しまう 。 でも 、 ここ まで 有名 な 店 に し た ご 主人 の 隠さ れ た 苦難 を 思う と 、 1 ポイント あげ たい 気持ち に なる 。 
